Area Name,Daily Min Temp,Daily Max Temp,Daily Avg Temp,Total Precipitation,Relative Humidity,Water Bodies,Population Density,Day Length,Urban / Rural Area,Forested Area,Crop Area,Graze Land Area,Habitable
Area 277,26.97,33.64,30.31,62.37,60.35,0,8955,11.06,1,1,1,0,0
Area 278,24.75,33.08,28.91,83.02,72.53,0,789,10.24,0,0,1,1,0
Area 279,25.53,39.93,32.73,36.05,57.81,1,6843,10.01,0,0,1,1,1
Area 280,26.94,35.37,31.15,43.04,88.19,0,2688,13.62,0,1,0,1,1
Area 281,28.35,43.23,35.79,40.95,86.81,0,1635,13.77,0,1,0,0,0
Area 282,20.07,29.92,25.0,37.47,82.4,1,2128,10.38,1,0,0,1,1
Area 283,20.63,27.43,24.03,92.55,86.02,0,1956,11.95,1,1,1,0,0
Area 284,16.41,30.32,23.37,82.89,62.46,0,3286,10.61,1,1,0,0,0
Area 285,23.67,33.28,28.48,10.9,66.82,0,2869,13.79,0,1,1,1,1
Area 286,15.54,27.64,21.59,10.81,77.1,1,6185,10.99,1,0,0,0,0
Area 287,21.98,36.82,29.4,42.79,74.81,1,6586,12.01,0,0,1,0,1
Area 288,23.14,28.64,25.89,9.87,84.53,0,7341,10.66,1,0,0,0,0
Area 289,19.3,25.27,22.28,61.91,75.82,0,3087,11.33,1,0,1,0,0
Area 290,23.86,36.07,29.96,14.37,89.89,1,8235,11.07,1,1,1,0,1
Area 291,15.46,23.28,19.37,52.24,57.43,1,6190,11.9,0,1,0,1,1
Area 292,15.56,22.4,18.98,0.72,81.65,1,9440,11.68,0,1,0,1,1
Area 293,27.34,32.73,30.04,31.66,74.88,0,880,11.32,1,0,0,1,0
Area 294,20.4,25.62,23.01,67.72,74.57,1,4505,10.42,0,1,1,1,1
Area 295,16.91,29.65,23.28,48.4,56.29,0,2253,11.94,0,1,1,0,0
Area 296,22.83,29.18,26.01,97.83,79.28,0,8847,13.4,0,0,0,0,0
Area 297,26.55,36.23,31.39,87.41,85.02,1,3396,12.92,0,0,0,0,1
Area 298,18.24,29.3,23.77,35.91,50.93,0,3413,12.88,0,1,0,1,0
Area 299,24.34,33.63,28.99,4.55,71.27,1,4592,11.46,0,1,0,1,1
Area 300,16.28,21.55,18.92,84.56,59.61,0,6396,12.83,0,0,0,0,0
Area 301,15.78,28.61,22.19,91.12,89.48,1,2683,11.86,0,0,0,1,1
Area 302,22.97,28.08,25.52,82.06,63.94,0,3143,10.6,1,1,0,1,0
Area 303,23.11,35.73,29.42,12.79,51.42,0,7669,11.68,1,1,1,1,0
Area 304,24.56,38.49,31.53,99.79,59.09,0,6079,10.53,0,1,1,0,0
Area 305,25.89,35.22,30.56,25.86,72.69,0,1269,10.46,1,1,0,0,0
Area 306,29.64,39.99,34.82,72.42,43.8,1,3362,10.09,1,0,0,1,0
Area 307,22.74,32.51,27.63,90.8,70.18,0,7136,11.13,0,0,1,1,0
Area 308,19.84,28.74,24.29,23.57,86.56,0,6826,11.32,0,1,0,1,1
Area 309,26.93,40.8,33.86,90.83,82.52,0,4122,12.8,0,1,0,1,1
Area 310,19.06,33.0,26.03,30.95,43.38,1,8492,12.15,0,1,0,0,1
Area 311,21.58,29.94,25.76,97.64,89.67,0,1990,13.43,1,1,1,0,0
Area 312,16.18,27.33,21.75,28.13,74.94,0,8303,10.71,0,1,0,1,1
Area 313,15.38,29.65,22.51,95.34,48.11,0,5271,11.06,0,1,1,1,1
Area 314,29.44,44.06,36.75,5.35,40.62,1,9617,13.76,1,0,0,0,0
